Scenario,Perturbation,Latency,Count,Tick
PrivacyPreserving,"('station3', 17)",44.76,1,1745.76
PrivacyPreserving,"('station3', 18)",35.68,1,1845.76
PrivacyPreserving,"('station3', 19)",24.48,0.68,1945.76
PrivacyPreserving,"('station1', 0)",33.72,1,50.04
PrivacyPreserving,"('station1', 1)",32.32,1,150.0
PrivacyPreserving,"('station1', 2)",32.76,1,250.0
PrivacyPreserving,"('station1', 3)",32.16,1,350.0
PrivacyPreserving,"('station1', 4)",30.84,1,450.0
PrivacyPreserving,"('station1', 5)",25.28,1,550.0
PrivacyPreserving,"('station1', 6)",32.32,1,650.0
PrivacyPreserving,"('station1', 7)",33.72,1,750.0
PrivacyPreserving,"('station1', 8)",31.4,1,850.0
PrivacyPreserving,"('station1', 9)",28.04,1,950.0
PrivacyPreserving,"('station1', 10)",32.04,1,1050.0
PrivacyPreserving,"('station1', 11)",30.84,1,1150.0
PrivacyPreserving,"('station1', 12)",29.96,1,1250.0
PrivacyPreserving,"('station1', 13)",28.24,1,1350.0
PrivacyPreserving,"('station1', 14)",30.72,1,1450.0
PrivacyPreserving,"('station1', 15)",31.44,1,1550.0
PrivacyPreserving,"('station1', 16)",35.56,1,1650.0
PrivacyPreserving,"('station1', 17)",29.32,1,1750.0
PrivacyPreserving,"('station1', 18)",27.2,1,1850.0
PrivacyPreserving,"('station1', 19)",19.8,0.8,1950.0
PrivacyPreserving,"('station0', 0)",40.92,1,51.64
PrivacyPreserving,"('station0', 1)",38.96,1,151.6
PrivacyPreserving,"('station0', 2)",43.32,1,251.6
PrivacyPreserving,"('station0', 3)",35.16,1,351.6
PrivacyPreserving,"('station0', 4)",34.12,1,451.6
PrivacyPreserving,"('station0', 5)",37.4,1,551.6
PrivacyPreserving,"('station0', 6)",32.76,1,651.6
PrivacyPreserving,"('station0', 7)",43.84,1,751.6
PrivacyPreserving,"('station0', 8)",38.72,1,851.6
PrivacyPreserving,"('station0', 9)",38.08,1,951.6
PrivacyPreserving,"('station0', 10)",33.76,1,1051.6
PrivacyPreserving,"('station0', 11)",42.12,1,1151.6
PrivacyPreserving,"('station0', 12)",34.48,1,1251.6
PrivacyPreserving,"('station0', 13)",44.32,1,1351.6
PrivacyPreserving,"('station0', 14)",34.64,1,1451.6
PrivacyPreserving,"('station0', 15)",38.96,1,1551.6
PrivacyPreserving,"('station0', 16)",36.32,1,1651.6
PrivacyPreserving,"('station0', 17)",38.04,1,1751.6
PrivacyPreserving,"('station0', 18)",45.0,1,1851.6
PrivacyPreserving,"('station0', 19)",20.08,0.72,1951.6
PrivacyPreserving,"('station3', 20)",0,0,2000.0
PrivacyPreserving,"('station0', 20)",0,0,2000.0
PrivacyPreserving,"('station1', 20)",0,0,2000.0
GroupCommunication,"('station1', 0)",58.75560447911222,17.8,52.68
GroupCommunication,"('station1', 1)",53.92637391600637,17.44,152.68
GroupCommunication,"('station1', 2)",70.74689356876354,17.44,252.68
GroupCommunication,"('station1', 3)",65.98501624907003,18.4,352.68
GroupCommunication,"('station1', 4)",29.097769372354502,16.24,452.68
GroupCommunication,"('station1', 5)",29.083660381317117,18.72,552.68
GroupCommunication,"('station1', 6)",29.183463233033848,18.16,652.68
GroupCommunication,"('station1', 7)",28.535972076669232,17.4,752.68
GroupCommunication,"('station1', 8)",28.84696492568319,16.04,852.68
GroupCommunication,"('station1', 9)",29.08914541345494,17.32,952.68
GroupCommunication,"('station1', 10)",28.430725301268794,16.6,1052.68
GroupCommunication,"('station1', 11)",30.659121272753655,16.8,1152.68
GroupCommunication,"('station1', 12)",28.61253906515107,18.16,1252.68
GroupCommunication,"('station1', 13)",28.928917974735512,16.8,1352.68
GroupCommunication,"('station1', 14)",27.996554043307924,17.28,1452.68
GroupCommunication,"('station1', 15)",28.62811274484029,17.88,1552.68
GroupCommunication,"('station1', 16)",29.21127969160706,16.44,1652.68
GroupCommunication,"('station1', 17)",29.087383217745437,16.52,1752.68
GroupCommunication,"('station1', 18)",29.299216255536685,16.88,1852.68
GroupCommunication,"('station1', 19)",21.700230661151718,11.08,1952.68
